,l1,l2,dropout,valacc
0,1,0.0001,0.0,"[0.031638894230127335, 0.16852985322475433, 0.16852985322475433, 0.06412149220705032, 0.02256907895207405]"
1,0.1,0.0001,0.0,"[0.4353511929512024, 0.16726429760456085, 0.16726429760456085, 0.06918371468782425, 0.16852985322475433]"
2,0.01,0.0001,0.0,"[0.013499261811375618, 0.4353511929512024, 0.013499261811375618, 0.16726429760456085, 0.02256907895207405]"
3,0.001,0.0001,0.0,"[0.4353511929512024, 0.16726429760456085, 0.06412149220705032, 0.16852985322475433, 0.06412149220705032]"
4,1e-05,0.0001,0.0,"[0.25732967257499695, 0.31491246819496155, 0.4218519330024719, 0.4427335858345032, 0.3965408205986023]"
5,1e-06,0.0001,0.0,"[0.3482387661933899, 0.42037543654441833, 0.4663573205471039, 0.35688674449920654, 0.46445897221565247]"
6,1,0.001,0.0,"[0.02256907895207405, 0.02256907895207405, 0.16852985322475433, 0.4353511929512024, 0.4353511929512024]"
7,0.1,0.001,0.0,"[0.16726429760456085, 0.02784222736954689, 0.16726429760456085, 0.06918371468782425, 0.02784222736954689]"
8,0.01,0.001,0.0,"[0.06918371468782425, 0.16852985322475433, 0.4353511929512024, 0.013499261811375618, 0.16852985322475433]"
9,0.001,0.001,0.0,"[0.013499261811375618, 0.02256907895207405, 0.031638894230127335, 0.06918371468782425, 0.02256907895207405]"
10,1e-05,0.001,0.0,"[0.2176755964756012, 0.3277789354324341, 0.4385150671005249, 0.370386004447937, 0.36933135986328125]"
11,1e-06,0.001,0.0,"[0.24994726479053497, 0.37713563442230225, 0.394853413105011, 0.42543765902519226, 0.4140476584434509]"
12,0.0,0.001,0.3,"[0.4039232134819031, 0.45349082350730896, 0.49230119585990906, 0.4355621039867401, 0.3963298797607422]"
13,0.0,0.0001,0.3,"[0.27736765146255493, 0.3670111894607544, 0.4323982298374176, 0.4292343258857727, 0.35245728492736816]"
14,0.0,1e-05,0.3,"[0.3807213604450226, 0.500738263130188, 0.3233495056629181, 0.5155030488967896, 0.43914785981178284]"
15,0.0,1e-06,0.3,"[0.4477958381175995, 0.46129509806632996, 0.4229065477848053, 0.3872600793838501, 0.39717358350753784]"
16,0.001,0,0.3,"[0.4585530459880829, 0.40497785806655884, 0.45180341601371765, 0.4665682315826416, 0.47184139490127563]"
17,0.0001,0,0.3,"[0.47395065426826477, 0.5121282339096069, 0.43640580773353577, 0.4977852702140808, 0.40223580598831177]"
18,1e-05,0,0.3,"[0.42353934049606323, 0.3735498785972595, 0.4568656384944916, 0.43598395586013794, 0.38219785690307617]"
19,1e-06,0,0.3,"[0.40202489495277405, 0.4218519330024719, 0.34844970703125, 0.44083526730537415, 0.3855726718902588]"
